Time,Gaze Origin,Gaze Direction,Fixation Point,Confidence Value,ClickPoint,
2023.10.14-15.48.35.148,X=420672.544 Y=369012.045 Z=2402.838,X=-0.250 Y=-0.727 Z=0.639,X=0.000 Y=0.000 Z=0.000,1.0,X=420323.760 Y=367872.783 Z=3340.215,
2023.10.14-15.48.35.193,X=420672.536 Y=369012.047 Z=2402.834,X=-0.249 Y=-0.727 Z=0.639,X=0.000 Y=0.000 Z=0.000,1.0,X=420324.897 Y=367873.774 Z=3339.797,
2023.10.14-15.48.35.241,X=420672.541 Y=369012.042 Z=2402.837,X=-0.248 Y=-0.727 Z=0.641,X=0.000 Y=0.000 Z=0.000,1.0,X=420326.643 Y=367873.489 Z=3343.240,
2023.10.14-15.48.35.287,X=420672.550 Y=369012.037 Z=2402.838,X=-0.249 Y=-0.727 Z=0.640,X=0.000 Y=0.000 Z=0.000,1.0,X=420325.562 Y=367873.571 Z=3342.128,
2023.10.14-15.48.35.336,X=420672.568 Y=369012.040 Z=2402.839,X=-0.249 Y=-0.726 Z=0.641,X=0.000 Y=0.000 Z=0.000,1.0,X=420324.366 Y=367873.631 Z=3343.849,
2023.10.14-15.48.35.387,X=420672.592 Y=369012.024 Z=2402.841,X=-0.246 Y=-0.725 Z=0.643,X=0.000 Y=0.000 Z=0.000,1.0,X=420328.657 Y=367874.519 Z=3347.654,
2023.10.14-15.48.35.428,X=420672.612 Y=369012.006 Z=2402.828,X=-0.245 Y=-0.724 Z=0.645,X=0.000 Y=0.000 Z=0.000,1.0,X=420330.150 Y=367875.142 Z=3350.326,
2023.10.14-15.48.35.470,X=420672.644 Y=369011.998 Z=2402.814,X=-0.243 Y=-0.725 Z=0.645,X=0.000 Y=0.000 Z=0.000,1.0,X=420332.828 Y=367875.025 Z=3349.824,
2023.10.14-15.48.35.514,X=420672.659 Y=369012.001 Z=2402.807,X=-0.258 Y=-0.749 Z=0.610,X=0.000 Y=0.000 Z=0.000,1.0,X=420318.150 Y=367859.318 Z=3282.496,
2023.10.14-15.48.35.563,X=420672.681 Y=369011.992 Z=2402.794,X=-0.263 Y=-0.768 Z=0.584,X=0.000 Y=0.000 Z=0.000,1.0,X=420317.024 Y=367847.782 Z=3233.050,
2023.10.14-15.48.35.612,X=420672.691 Y=369011.984 Z=2402.798,X=-0.263 Y=-0.774 Z=0.576,X=0.000 Y=0.000 Z=0.000,1.0,X=420317.414 Y=367844.253 Z=3217.922,
2023.10.14-15.48.35.661,X=420672.700 Y=369011.978 Z=2402.795,X=-0.262 Y=-0.757 Z=0.598,X=0.000 Y=0.000 Z=0.000,1.0,X=420314.961 Y=367854.094 Z=3260.105,
2023.10.14-15.48.35.709,X=420672.703 Y=369011.966 Z=2402.783,X=-0.260 Y=-0.736 Z=0.625,X=0.000 Y=0.000 Z=0.000,1.0,X=420311.345 Y=367866.809 Z=3314.608,
2023.10.14-15.48.35.759,X=420672.707 Y=369011.947 Z=2402.791,X=-0.258 Y=-0.725 Z=0.638,X=0.000 Y=0.000 Z=0.000,1.0,X=420311.294 Y=367873.045 Z=3341.339,
2023.10.14-15.48.35.809,X=420672.729 Y=369011.945 Z=2402.809,X=-0.256 Y=-0.719 Z=0.646,X=0.000 Y=0.000 Z=0.000,1.0,X=420312.046 Y=367876.671 Z=3356.880,
2023.10.14-15.48.35.859,X=420672.736 Y=369011.920 Z=2402.822,X=-0.257 Y=-0.716 Z=0.649,X=0.000 Y=0.000 Z=0.000,1.0,X=420309.693 Y=367878.473 Z=3364.606,
2023.10.14-15.48.35.905,X=420672.750 Y=369011.890 Z=2402.824,X=-0.256 Y=-0.710 Z=0.656,X=0.000 Y=0.000 Z=0.000,1.0,X=420308.724 Y=367882.203 Z=3380.592,
2023.10.14-15.48.35.955,X=420672.766 Y=369011.863 Z=2402.825,X=-0.259 Y=-0.710 Z=0.655,X=0.000 Y=0.000 Z=0.000,1.0,X=420304.404 Y=367881.978 Z=3379.630,
2023.10.14-15.48.36.005,X=420672.798 Y=369011.822 Z=2402.836,X=-0.260 Y=-0.711 Z=0.653,X=0.000 Y=0.000 Z=0.000,1.0,X=420303.006 Y=367880.739 Z=3374.317,
2023.10.14-15.48.36.055,X=420672.836 Y=369011.778 Z=2402.835,X=-0.261 Y=-0.713 Z=0.651,X=0.000 Y=0.000 Z=0.000,1.0,X=420302.307 Y=367879.977 Z=3371.054,
2023.10.14-15.48.36.106,X=420672.896 Y=369011.737 Z=2402.862,X=-0.262 Y=-0.714 Z=0.649,X=0.000 Y=0.000 Z=0.000,1.0,X=420301.549 Y=367878.941 Z=3366.610,
2023.10.14-15.48.36.151,X=420672.956 Y=369011.712 Z=2402.872,X=-0.263 Y=-0.714 Z=0.649,X=0.000 Y=0.000 Z=0.000,1.0,X=420300.684 Y=367879.991 Z=3365.911,
2023.10.14-15.48.36.202,X=420673.010 Y=369011.683 Z=2402.877,X=-0.264 Y=-0.714 Z=0.648,X=0.000 Y=0.000 Z=0.000,1.0,X=420298.867 Y=367878.807 Z=3366.036,
2023.10.14-15.48.36.247,X=420673.074 Y=369011.673 Z=2402.881,X=-0.263 Y=-0.713 Z=0.649,X=0.000 Y=0.000 Z=0.000,1.0,X=420298.919 Y=367879.235 Z=3367.869,
2023.10.14-15.48.36.295,X=420673.147 Y=369011.661 Z=2402.878,X=-0.262 Y=-0.712 Z=0.651,X=0.000 Y=0.000 Z=0.000,1.0,X=420300.878 Y=367880.012 Z=3371.200,
2023.10.14-15.48.36.343,X=420673.219 Y=369011.672 Z=2402.862,X=-0.261 Y=-0.713 Z=0.650,X=0.000 Y=0.000 Z=0.000,1.0,X=420301.784 Y=367879.596 Z=3369.416,
2023.10.14-15.48.36.393,X=420673.261 Y=369011.700 Z=2402.868,X=-0.261 Y=-0.736 Z=0.625,X=0.000 Y=0.000 Z=0.000,1.0,X=420309.235 Y=367866.787 Z=3314.511,
2023.10.14-15.48.36.442,X=420673.288 Y=369011.733 Z=2402.863,X=-0.264 Y=-0.744 Z=0.614,X=0.000 Y=0.000 Z=0.000,1.0,X=420307.279 Y=367861.785 Z=3293.070,
2023.10.14-15.48.36.491,X=420673.303 Y=369011.789 Z=2402.868,X=-0.267 Y=-0.747 Z=0.608,X=0.000 Y=0.000 Z=0.000,1.0,X=420304.871 Y=367859.269 Z=3282.287,
2023.10.14-15.48.36.542,X=420673.306 Y=369011.866 Z=2402.896,X=-0.269 Y=-0.749 Z=0.605,X=0.000 Y=0.000 Z=0.000,1.0,X=420301.482 Y=367858.020 Z=3276.933,
2023.10.14-15.48.36.593,X=420673.294 Y=369011.935 Z=2402.939,X=-0.273 Y=-0.749 Z=0.604,X=0.000 Y=0.000 Z=0.000,1.0,X=420296.186 Y=367857.712 Z=3275.615,
2023.10.14-15.48.36.643,X=420673.282 Y=369012.002 Z=2402.973,X=-0.276 Y=-0.749 Z=0.602,X=0.000 Y=0.000 Z=0.000,1.0,X=420291.619 Y=367857.168 Z=3273.282,
2023.10.14-15.48.36.688,X=420673.230 Y=369012.102 Z=2403.025,X=-0.278 Y=-0.747 Z=0.603,X=0.000 Y=0.000 Z=0.000,1.0,X=420288.269 Y=367857.860 Z=3276.247,
