Time,PlayerLocation,PlaterRotation,
2023.10.14-15.46.58.158,X=400835.198 Y=371209.772 Z=1414.941,P=2.642804 Y=14.904760 R=1.075556,
2023.10.14-15.46.58.219,X=400870.521 Y=371221.992 Z=1414.941,P=2.681229 Y=14.989038 R=0.862749,
2023.10.14-15.46.58.278,X=400904.333 Y=371233.738 Z=1414.941,P=2.775841 Y=15.078448 R=0.747464,
2023.10.14-15.46.58.340,X=400938.608 Y=371245.439 Z=1414.941,P=2.900689 Y=15.090405 R=0.707413,
2023.10.14-15.46.58.398,X=400973.028 Y=371257.045 Z=1414.941,P=2.929974 Y=15.148477 R=0.659358,
2023.10.14-15.46.58.459,X=401003.103 Y=371266.972 Z=1414.941,P=2.812836 Y=15.331893 R=0.672696,
2023.10.14-15.46.58.520,X=401027.872 Y=371274.989 Z=1414.941,P=2.908653 Y=15.601770 R=0.701204,
2023.10.14-15.46.58.580,X=401053.093 Y=371282.937 Z=1414.941,P=3.045446 Y=15.892948 R=0.798309,
2023.10.14-15.46.58.644,X=401079.517 Y=371290.957 Z=1414.941,P=3.059920 Y=16.197446 R=0.940738,
2023.10.14-15.46.58.704,X=401106.292 Y=371298.949 Z=1414.941,P=3.132207 Y=16.685010 R=1.044356,
2023.10.14-15.46.58.764,X=401111.992 Y=371300.642 Z=1414.941,P=3.415974 Y=17.996168 R=0.988544,
2023.10.14-15.46.58.827,X=401111.992 Y=371300.642 Z=1414.941,P=3.552384 Y=20.010666 R=1.392287,
2023.10.14-15.46.58.886,X=401111.992 Y=371300.642 Z=1414.941,P=3.430905 Y=22.962215 R=1.633847,
2023.10.14-15.46.59.137,X=401117.031 Y=371302.777 Z=1414.941,P=3.553344 Y=25.551322 R=1.721785,
2023.10.14-15.46.59.142,X=401211.640 Y=371347.585 Z=1414.941,P=3.748500 Y=30.433060 R=2.231293,
2023.10.14-15.46.59.153,X=401216.331 Y=371349.871 Z=1414.941,P=3.771566 Y=30.647868 R=2.286672,
2023.10.14-15.46.59.257,X=401242.311 Y=371363.816 Z=1414.941,P=3.768526 Y=32.391125 R=2.552722,
2023.10.14-15.46.59.316,X=401275.472 Y=371383.003 Z=1414.941,P=3.627687 Y=33.309054 R=2.641996,
2023.10.14-15.46.59.378,X=401306.175 Y=371401.953 Z=1414.941,P=3.958046 Y=34.175077 R=2.725037,
2023.10.14-15.46.59.439,X=401336.887 Y=371421.828 Z=1414.941,P=4.023584 Y=34.599424 R=3.217534,
2023.10.14-15.46.59.499,X=401367.236 Y=371442.115 Z=1414.941,P=3.698907 Y=34.595490 R=3.360531,
2023.10.14-15.46.59.558,X=401396.946 Y=371462.306 Z=1414.941,P=3.359496 Y=34.324683 R=3.267809,
2023.10.14-15.46.59.617,X=401405.007 Y=371467.799 Z=1414.941,P=3.268000 Y=34.192145 R=3.090347,
2023.10.14-15.46.59.679,X=401405.007 Y=371467.799 Z=1414.941,P=3.261154 Y=34.214840 R=3.048613,
2023.10.14-15.46.59.736,X=401405.007 Y=371467.799 Z=1414.941,P=3.164962 Y=34.452353 R=3.120824,
2023.10.14-15.46.59.794,X=401405.007 Y=371467.799 Z=1414.941,P=3.060789 Y=34.643188 R=3.105272,
2023.10.14-15.46.59.851,X=401405.007 Y=371467.799 Z=1414.941,P=3.043299 Y=34.792350 R=3.118692,
2023.10.14-15.46.59.909,X=401405.007 Y=371467.799 Z=1414.941,P=3.011578 Y=34.825497 R=3.245333,
2023.10.14-15.46.59.964,X=401405.007 Y=371467.799 Z=1414.941,P=3.116204 Y=34.897243 R=3.261561,
2023.10.14-15.47.00.018,X=401407.121 Y=371469.274 Z=1414.941,P=3.102574 Y=35.039484 R=3.382972,
2023.10.14-15.47.00.059,X=401413.098 Y=371473.457 Z=1414.941,P=3.065385 Y=35.150572 R=3.442644,
2023.10.14-15.47.00.115,X=401420.787 Y=371478.858 Z=1414.941,P=3.025267 Y=35.387851 R=3.481813,
2023.10.14-15.47.00.171,X=401435.477 Y=371489.234 Z=1414.941,P=2.865245 Y=35.559041 R=3.383115,
2023.10.14-15.47.00.233,X=401455.941 Y=371503.775 Z=1414.941,P=2.856417 Y=35.746833 R=3.328108,
2023.10.14-15.47.00.290,X=401483.940 Y=371523.799 Z=1414.941,P=2.718516 Y=35.932831 R=3.353597,
2023.10.14-15.47.00.346,X=401511.462 Y=371543.601 Z=1414.941,P=2.596501 Y=36.150052 R=3.291414,
2023.10.14-15.47.00.404,X=401539.363 Y=371563.814 Z=1414.941,P=2.372228 Y=36.363118 R=3.365009,
2023.10.14-15.47.00.461,X=401568.971 Y=371585.430 Z=1414.941,P=2.093600 Y=36.598114 R=3.326871,
2023.10.14-15.47.00.518,X=401594.771 Y=371604.407 Z=1414.941,P=1.847177 Y=36.845513 R=3.230239,
